seed,status,t_eager,t_lazy,rss_eager_mb,rss_lazy_mb,d_rss,d_time,ub_scaling,formula
12,PASS,5.55,6.31,177,144,0.19,0.137,stable,"(EVENTUALLY[84,101] (((EVENTUALLY[43,72] (P1(x1))) SINCE[18,19] ((LET P3(z1,z2) = (P3(z2,z1))
IN (P3(x1,x2)))))))"
22,PASS,2.9,2.67,97,113,0.161,0.08,stable,"((ONCE[78,84] (((EXISTS y1. (P3(y1,y1))) UNTIL[94,115] ((P3(x1,x2) AND ((40 = x1))))))) AND ((73 = x1)))"
23,insensitive,5.22,5.03,108,104,0.038,0.035,,"(((ONCE[75,89] ((EVENTUALLY[45,50] ((P3(x2,x2) UNTIL[34,49] (P0(x2))))))) AND ((90 = x2))) AND ((53 = x2)))"
25,insensitive,9.04,9.75,134,135,0.006,0.079,,"(EVENTUALLY[1,8] ((((EVENTUALLY[79,90] (P1())) SINCE[5,7] ((EVENTUALLY[54,58] (P0(x1))))) AND ((65 = x1)))))"
45,PASS,7.63,7.36,158,136,0.138,0.035,stable,"(ONCE[62,65] ((EVENTUALLY[2,5] ((EVENTUALLY[14,24] ((P1(x1) UNTIL[39,67] (P0(x1)))))))))"
50,insensitive,2.96,2.9,165,155,0.06,0.018,,"(EVENTUALLY[34,46] (((P0(x2) AND ((28 = x2))) SINCE[31,56] ((P0(x2) AND ((NOT (P1(x2)))))))))"
52,insensitive,2.85,2.83,128,123,0.045,0.006,,"(EXISTS y1. ((ONCE[92,120] (((EVENTUALLY[17,23] ((EXISTS y2. (P3(y1,y2))))) AND ((80 = y1)))))))"
53,insensitive,5.71,5.72,171,160,0.067,0.002,,"((EXISTS y1. ((EVENTUALLY[16,25] (P3(y1,x2))))) SINCE[27,44] ((P0(x2,x2) UNTIL[91,108] (P2(x2)))))"
75,insensitive,5.22,5.19,168,172,0.021,0.007,,"(EVENTUALLY[55,70] ((ONCE[98,128] (((P3(x2) UNTIL[85,97] (P3(x2))) SINCE[88,92] ((P0(x2) AND ((63 = x2)))))))))"
76,insensitive,7.45,7.46,149,146,0.026,0.002,,"(EVENTUALLY[49,56] (((EVENTUALLY[30,40] ((EVENTUALLY[56,72] ((ONCE[42,50] (P1(x1))))))) AND ((84 = x1)))))"
77,insensitive,5.14,4.99,156,165,0.057,0.03,,"((P1(x1) UNTIL[63,69] (P1(x1))) UNTIL[41,48] ((ONCE[14,30] ((P0(x1) AND ((3 = x1)))))))"
80,insensitive,4.99,5.02,161,159,0.013,0.007,,"(ONCE[69,81] ((EVENTUALLY[51,63] (((P3(x1,x1) UNTIL[49,79] (P1(x1))) OR ((P0(x1) AND ((79 = x1)))))))))"
81,insensitive,5.26,5.22,128,137,0.07,0.006,,"(EVENTUALLY[58,69] (((P1(x2) UNTIL[28,38] (P1(x2))) SINCE[49,76] ((P1(x2) OR (P0(x2,x2)))))))"
84,insensitive,9.34,9.29,209,198,0.05,0.005,,"((P2() SINCE[69,86] (P3(x2))) UNTIL[99,101] ((EVENTUALLY[66,88] ((EVENTUALLY[25,40] (P3(x2)))))))"
89,insensitive,7.71,7.59,244,253,0.037,0.015,,"(ONCE[77,82] ((EVENTUALLY[8,13] (((ONCE[74,102] (P0())) UNTIL[42,71] ((ONCE[88,91] (P1(x2,x1)))))))))"
90,PASS,5.44,5.25,122,159,0.307,0.036,restructured,"(ONCE[11,33] (((EVENTUALLY[69,93] (P1(x2,x2))) SINCE[39,65] ((EVENTUALLY[39,48] (P3(x2)))))))"
106,insensitive,5.26,5.25,130,126,0.037,0.003,,"((ONCE[63,77] ((EVENTUALLY[83,93] (P2())))) UNTIL[61,62] ((P2() SINCE[67,69] (P2()))))"
113,insensitive,4.93,4.94,99,101,0.028,0.001,,"(PREVIOUS[92,93] ((EVENTUALLY[44,52] ((EVENTUALLY[3,31] ((ONCE[16,32] ((P2(x2,x2) AND ((59 = x2)))))))))))"
118,insensitive,3.01,2.96,115,119,0.038,0.019,,"((P2() SINCE[65,84] (P2())) UNTIL[23,33] ((ONCE[46,71] ((P2() OR (P2()))))))"
120,insensitive,7.27,7.78,132,120,0.092,0.069,,"(EVENTUALLY[24,53] (((P1() UNTIL[47,71] (P1())) SINCE[75,78] ((EVENTUALLY[27,35] (P2()))))))"
124,PASS,2.88,2.96,80,89,0.118,0.028,restructured,"((ONCE[7,16] (((ONCE[12,23] (P1(x1,x1))) UNTIL[4,15] ((ONCE[39,40] (P1(x1,x1))))))) AND ((98 = x1)))"
125,PASS,7.04,7.09,159,142,0.103,0.008,stable,"(((P2(x1,x1) UNTIL[19,35] (P3(x1))) UNTIL[76,86] ((P0() SINCE[23,28] (P3(x1))))) AND ((23 = x1)))"
128,insensitive,4.92,4.93,120,118,0.012,0.003,,"((EVENTUALLY[46,51] ((EVENTUALLY[19,30] ((P2(x1,x1) SINCE[32,35] (P1(x1))))))) AND ((21 = x1)))"
133,PASS,5.55,6.15,112,92,0.177,0.108,restructured,"(EVENTUALLY[61,72] (((ONCE[48,54] (P0(x1))) UNTIL[98,109] ((P0(x1) AND ((36 = x1)))))))"
135,PASS,3.31,3.75,103,107,0.04,0.132,stable,"((P2(x2,x2) SINCE[46,73] (P2(x2,x2))) SINCE[80,96] ((NEXT[90,94] ((EVENTUALLY[1,20] (P1(x2)))))))"
139,PASS,107.99,93.04,255,256,0.002,0.138,stable,"((P0() SINCE[68,92] (P0())) AND ((P2(x2,x1) UNTIL[44,63] (P1(x2,x1)))))"
141,insensitive,9.44,9.9,185,179,0.03,0.049,,"(EVENTUALLY[3,22] (((ONCE[44,71] (P1())) UNTIL[22,41] ((P1() SINCE[0,21] (P0(x2,x1)))))))"
142,run(timeout/timeout),,,,,,,,"((ONCE[12,29] ((EVENTUALLY[8,24] (P0(x2,x1))))) SINCE[87,93] ((EVENTUALLY[44,56] ((P1(x1,x2) UNTIL[33,35] (P0(x2,x1)))))))"
144,insensitive,10.41,10.77,170,161,0.053,0.035,,"(EVENTUALLY[58,61] ((((ONCE[4,8] (P1())) UNTIL[11,33] ((EVENTUALLY[75,83] (P2(x1))))) AND ((30 = x1)))))"
146,PASS,3.81,3.41,125,155,0.24,0.104,stable,"(ONCE[79,104] (((ONCE[84,94] (P1())) UNTIL[20,39] ((ONCE[10,36] (P0()))))))"
147,insensitive,3.75,3.38,100,98,0.024,0.098,,"((ONCE[53,65] ((EVENTUALLY[81,100] (P1(x1,x1))))) SINCE[19,34] ((P3(x1) SINCE[23,37] (P3(x1)))))"
153,insensitive,4.89,4.46,143,152,0.061,0.087,,"(LET P0(z1) = ((PREVIOUS[90,119] ((P1() SINCE[76,90] (P0(z1))))))
IN ((P1() UNTIL[28,42] (P0(x1)))))"
160,PASS,7.09,6.81,167,195,0.165,0.039,restructured,"(ONCE[43,49] ((((P0() OR (P0())) UNTIL[66,82] ((EVENTUALLY[27,51] (P2(x2))))) AND ((29 = x2)))))"
161,PASS,5.14,5.11,105,118,0.12,0.006,stable,"(EVENTUALLY[70,76] ((ONCE[81,83] (((P0(x2,x2) AND ((82 = x2))) UNTIL[89,113] ((P0(x2,x1) AND ((79 = x2)))))))))"
166,run(timeout/timeout),,,,,,,,"(ONCE[77,91] (((P1(x1,x2) UNTIL[62,86] (P2(x2,x1))) AND ((P0() UNTIL[24,51] (P3(x1)))))))"
168,PASS,6.07,6.85,78,79,0.009,0.129,stable,"((P1() AND (P1())) UNTIL[66,78] ((EVENTUALLY[28,46] ((ONCE[69,89] (P1()))))))"
